Names R,Names Stata,Label
voted,voted,voted: Has voted in last election: Yes to vote_participation.
survey_biased_yes,survey_biased_yes,survey_biased_yes: T/F Finds the survey biased (survey_biased != No)
survey_biased_left,survey_biased_left,"survey_biased_left: T/F Finds the survey left-wing biased (survey_biased == Yes, left)"
survey_biased_right,survey_biased_right,"survey_biased_right: T/F Finds the survey right-wing biased (survey_biased == Yes, right)"
wtp_variant,wtp_variant,"wtp_variant: The amount that respondent faces in the WTP dichotmous choice, in $/year: 10/30/50/100/300/500/1000"
wtp,wtp,
country,country,country: Country of the survey.
country_name,country_name,
wave,wave,wave: Wave of the survey. pilot1/pilot2/full
policies_large_effect,policies_large_effect,"policies_large_effect: An emission limit for cars, a green infrastructure program and a carbon tax with cash transfers would have large effect on the economy and employment? Strongly disagree-agree"
policies_negative_effect,policies_negative_effect,"policies_negative_effect: An emission limit for cars, a green infrastructure program and a carbon tax with cash transfers would have negative effect on the economy and employment? Strongly disagree-agree"
policies_fair,policies_fair,"policies_fair: An emission limit for cars, a green infrastrcuture program and a carbon tax with cash transfers is fair? Strongly disagree - strongly agree"
policies_cost_effective,policies_cost_effective,"policies_cost_effective: An emission limit for cars, a green infrastrcuture program and a carbon tax would be cost-effective to fight climate change. Strongly disagree - strongly sagree"
policies_support,policies_support,"policies_support: Average of responses in [-2;+2] to Would you support an emission limit for cars, a green infrastrcuture program and a carbon tax with cash transfers?"
policies_urban,policies_urban,"policies_urban: Would urban dwellers win or lose financially from an emission limit for cars, a green infrastrcuture program and a carbon tax with cash transfers? Average of 3 policies in [-2;+2]"
policies_rural,policies_rural,"policies_rural: Would rural financially win or lose from an emission limit for cars, a green infrastrcuture program and a carbon tax with cash transfers? Average of 3 policies in [-2;+2]"
policies_rich,policies_rich,"policies_rich: Would the richest financially win or lose from an emission limit for cars, a green infrastrcuture program and a carbon tax with cash transfers? Average of 3 policies in [-2;+2]"
policies_middle,policies_middle,"policies_middle: Would the middle class win or lose financially from an emission limit for cars, a green infrastrcuture program and a carbon tax with cash transfers? Average of 3 policies in [-2;+2]"
policies_poor,policies_poor,"policies_poor: Would the poorest win or lose financially from an emission limit for cars, a green infrastrcuture program and a carbon tax with cash transfers? Average of 3 policies in [-2;+2]"
policies_incidence,policies_incidence,
policies_self,policies_self,"policies_self: Would your household win or lose financially from an emission limit for cars, a green infrastrcuture program and a carbon tax with cash transfers? Average of 3 policies in [-2;+2]"
urban,urban,"urban: Live in an urban area. Computed from zipcode if possible, otherwise from answer to urbanity. US: core_metroplitan; DK: urbanity > 20k; FR: Grand Pôle; IT: Cities and small cities from Eurostat; UK: Urban city or town, or conurbation and large urban area; "
flights_agg,flights_agg,
donation_agg,donation_agg,
donation_percent,donation_percent,donation_percent: Donation amount in percentage of maximal donation (~$100)
donation_fraction,donation_fraction,donation_fraction: Donation amount as a fraction of maximal donation (~$100)
car_work,car_work,car_work: Uses car or motorbike to go to work or place of study (NA if Not Applicable)
car_leisure,car_leisure,car_leisure: Usually uses car or motorbike for leisure (NA if Not Applicable)
car_shopping,car_shopping,car_shopping: Uses car or motorbike to go shopping (NA if Not Applicable)
treatment,treatment,
rush_treatment,rush_treatment,rush_treatment: Has rushed the treatment. TRUE/FALSE
rush,rush,rush: Has rushed the treatment or the survey. TRUE/FALSE
female,female,
gender_factor,gender_factor,
children,children,"children: Live with at least one child below 14 (or has at least one child, for the US)"
college,college,
nb_origin,nb_origin,nb_origin: Number of origins (or race) of the respondent.
origin,origin,"origin: Origin of the respondent. In case of multiple origins (nb_origins > 1), only one is retained (and not the main one in the country)."
dominant_origin,dominant_origin,dominant_origin: T/F Respondent's origin is the dominant one in their country (US: white only; Other: national).
income_factor,income_factor,
weight,weight,
vote_mode_leaning,vote_mode_leaning,
vote_agg,vote_agg,
vote_agg_number,vote_agg_number,vote_agg_number: Numberic version of vote_agg. -2: Far left; -1: Social democratic left; 0: Center; 1: Right; 2: Far right; -0.1: PNR or other
know_treatment_climate,know_treatment_climate,know_treatment_climate: Number of good responses among the 2 knowledge questions related to treatment content: temperature_2100 = 8°F (4 °C) & know_local_damage = 70 days per year / Ozone hole (depending on country)
know_treatment_policy,know_treatment_policy,"know_treatment_policy: Number of good responses among the 2 knowledge questions related to treatment content: ban = A ban on combustion-engine cars & investments_funding = Additional government debt (for the US, second one is 1.5 million jobs instead)"
know_temperature_2100_correct,know_temperature_2100_correc_339,
know_local_damage_correct,know_local_damage_correct,
know_investments_funding_correct,know_investments_funding_cor_341,
know_ban_correct,know_ban_correct,
score_GHG,score_ghg,score_GHG: Score to the knowledge of GHG [0;+4] = CO2 + methane - H2 - particulates + 2
know_GHG_CO2,know_ghg_co2,know_GHG_CO2: Correct answer that CO2 is a GHG
know_GHG_methane,know_ghg_methane,know_GHG_methane: Correct answer that methane is a GHG
know_GHG_H2,know_ghg_h2,know_GHG_H2: Correct answer that H2 is not a GHG
know_GHG_particulates,know_ghg_particulates,know_GHG_particulates: Correct answer that particulates is not a GHG
score_CC_impacts,score_cc_impacts,score_CC_impacts: Score of knowledge of impacts from CC. Droughts > 0 (somewhat/very likely) + sea-level rise > 0 + volcanos <= -1 (somewhat unlikely) + volcanos == -2 (very unlikely)
footprint_pc_nb_distinct,footprint_pc_nb_distinct,footprint_pc_nb_distinct: Number of distinct ranks in the ranking of footprint per capita
footprint_reg_nb_distinct,footprint_reg_nb_distinct,footprint_reg_nb_distinct: Number of distinct ranks in the ranking of total regional footprint
footprint_pc_full_ranking,footprint_pc_full_ranking,footprint_pc_full_ranking: TRUE if the ranking of the footprint per capita is full (i.e. there is no pair of regions with the same ranking)
footprint_reg_full_ranking,footprint_reg_full_ranking,footprint_reg_full_ranking: TRUE if the ranking of the regional footprint is full (i.e. there is no pair of regions with the same ranking)
footprint_pc_US_original,footprint_pc_us_original,"footprint_pc_US: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - The U.S."
footprint_pc_EU_original,footprint_pc_eu_original,"footprint_pc_EU: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - The European Union"
footprint_pc_china_original,footprint_pc_china_original,"footprint_pc_china: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - China"
footprint_pc_india_original,footprint_pc_india_original,"footprint_pc_india: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - India"
footprint_reg_US_original,footprint_reg_us_original,footprint_reg_US: Which region contributes most to global greenhouse gas emissions?Please rank the regions from 1 (most) to 4 (least) and note that multiple regions may have the same rank. - The U.S.
footprint_reg_EU_original,footprint_reg_eu_original,footprint_reg_EU: Which region contributes most to global greenhouse gas emissions?Please rank the regions from 1 (most) to 4 (least) and note that multiple regions may have the same rank. - The European Union
footprint_reg_china_original,footprint_reg_china_original,footprint_reg_china: Which region contributes most to global greenhouse gas emissions?Please rank the regions from 1 (most) to 4 (least) and note that multiple regions may have the same rank. - China
footprint_reg_india_original,footprint_reg_india_original,footprint_reg_india: Which region contributes most to global greenhouse gas emissions?Please rank the regions from 1 (most) to 4 (least) and note that multiple regions may have the same rank. - India
footprint_pc_country,footprint_pc_country,"footprint_pc_country: In which region does the consumption of an average person contribute most to greenhouse gas emissions?



Please rank the regions from 1 (most) to 4 (least). - [region]"
correct_footprint_pc_compare_US,correct_footprint_pc_compare_362,correct_footprint_pc_compare_US: T/F Correctly assesses that US per capita emissions are higher than China's
correct_footprint_pc_compare_own,correct_footprint_pc_compare_363,"correct_footprint_pc_compare_own: T/F Correctly assesses which is higher between own region's per capita emissions and those of China (or of India for CN, SA)"
footprint_pc_nb_na,footprint_pc_nb_na,footprint_pc_nb_na: Number of NA ranks in the ranking of footprint per capita
footprint_reg_nb_na,footprint_reg_nb_na,footprint_reg_nb_na: Number of NA ranks in the ranking of total regional footprint
score_footprint_elec,score_footprint_elec,e$score_footprint_elec: Kendall distance with true ranking of electricity footprints: coal>gas>nuclear
score_footprint_food,score_footprint_food,e$score_footprint_food: Kendall distance with true ranking of food footprints: beef>chicken>pasta
score_footprint_transport,score_footprint_transport,e$score_footprint_transport: Kendall distance with true ranking of transport footprints: plane>car>coach
score_footprint_pc,score_footprint_pc,"e$score_footprint_pc: Kendall distance with true ranking of per capita footprints: US>EU>China>India (when there is a tie in the respondent's ranking, we solve it to their advantage)"
score_footprint_region,score_footprint_region,"e$score_footprint_region: Kendall distance with true ranking of region footprints: China>US>EU>India (when there is a tie in the respondent's ranking, we solve it to their advantage)"
know_footprint_elec,know_footprint_elec,know_footprint_elec: Correct answer to the ranking of electricity footprints
know_footprint_food,know_footprint_food,know_footprint_food: Correct answer to the ranking of food footprints
know_footprint_transport,know_footprint_transport,know_footprint_transport: Correct answer to the ranking of transport footprints
know_footprint_pc,know_footprint_pc,"know_footprint_pc: Correct answer to the ranking of per capita footprints (when there is a tie in the respondent's ranking, we solve it to their advantage)"
know_footprint_region,know_footprint_region,"know_footprint_region: Correct answer to the ranking of region footprints (when there is a tie in the respondent's ranking, we solve it to their advantage)"
least_footprint_no_pnr_pc,least_footprint_no_pnr_pc,
least_footprint_no_pnr_reg,least_footprint_no_pnr_reg,
least_footprint_reg,least_footprint_reg,
least_footprint_tr,least_footprint_tr,
least_footprint_fd,least_footprint_fd,
least_footprint_el,least_footprint_el,
least_footprint_pc,least_footprint_pc,
most_footprint_pc,most_footprint_pc,
most_footprint_reg,most_footprint_reg,
most_footprint_tr,most_footprint_tr,
most_footprint_fd,most_footprint_fd,
most_footprint_el,most_footprint_el,
knows_beef_footprint,knows_beef_footprint,knows_beef_footprint: T/F Correctly ranks footprint of beef (or lamb for India) above chicken and pasta.
index_knowledge,index_knowledge,index_knowledge: Non-weighted average of z-scores of variables in variables_knowledge_index. Each z-score is standardized with survey weights and impute mean of treatment group to missing values.
index_knowledge_dummies,index_knowledge_dummies,
index_knowledge_dummies2SD,index_knowledge_dummies2sd,
index_knowledge_simple,index_knowledge_simple,index_knowledge_simple: Weighted average of (non-standardized) variables in variables_knowledge_efa. Weights are chosen to fit intuition.
index_knowledge_efa,index_knowledge_efa,index_knowledge_efa: Weighted average of z-scores of variables in variables_knowledge_efa. Weights are loadings from explanatory factor analysis (EFA with 1 factor). Each z-score is standardized with survey weights and impute mean of treatment group to missing values.
index_affected,index_affected,"index_affected: Non-weighted average of z-scores of variables in variables_affected_index. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values."
index_affected_dummies,index_affected_dummies,
index_affected_dummies2SD,index_affected_dummies2sd,
index_progressist,index_progressist,"index_progressist: Non-weighted average of z-scores of variables in variables_index_progressist. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_progressist_dummies,index_progressist_dummies,
index_progressist_dummies2SD,index_progressist_dummies2sd,
index_concerned_about_CC,index_concerned_about_cc,"index_concerned_about_CC: Non-weighted average of z-scores of variables in variables_concerned_about_CC_index. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_concerned_about_CC_dummies,index_concerned_about_cc_dum_401,
index_concerned_about_CC_dummies2SD,index_concerned_about_cc_dum_402,
index_worried,index_worried,"index_worried: Non-weighted average of z-scores of variables in variables_index_worried. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_worried_dummies,index_worried_dummies,
index_worried_dummies2SD,index_worried_dummies2sd,
investments_economic_effect,investments_economic_effect,
tax_transfers_economic_effect,tax_transfers_economic_effec_407,
standard_economic_effect,standard_economic_effect,
index_positive_economy,index_positive_economy,"index_positive_economy: Non-weighted average of z-scores of variables in variables_index_positive_economy. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_positive_economy_dummies,index_positive_economy_dummi_410,
index_positive_economy_dummies2SD,index_positive_economy_dummi_411,
index_constrained,index_constrained,"index_constrained: Non-weighted average of z-scores of variables in variables_index_constrained. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_constrained_dummies,index_constrained_dummies,
index_constrained_dummies2SD,index_constrained_dummies2sd,
index_policies_efficient,index_policies_efficient,"index_policies_efficient: Non-weighted average of z-scores of variables in variables_index_policies_efficient. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_policies_efficient_dummies,index_policies_efficient_dum_416,
index_policies_efficient_dummies2SD,index_policies_efficient_dum_417,
index_care_poverty,index_care_poverty,"index_care_poverty: Non-weighted average of z-scores of variables in variables_index_care_poverty. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_care_poverty_dummies,index_care_poverty_dummies,
index_care_poverty_dummies2SD,index_care_poverty_dummies2s_420,
index_altruism,index_altruism,"index_altruism: Non-weighted average of z-scores of variables in variables_index_altruism. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_altruism_dummies,index_altruism_dummies,
index_altruism_dummies2SD,index_altruism_dummies2sd,
preferences_pricing_norms,preferences_pricing_norms,
index_preferences_pricing_norms,index_preferences_pricing_no_425,
index_preferences_pricing_norms_dummies,index_preferences_pricing_no_426,
index_preferences_pricing_norms_dummies2SD,index_preferences_pricing_no_427,
index_affected_subjective,index_affected_subjective,"index_affected_subjective: Non-weighted average of z-scores of variables in variables_index_affected_subjective. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_affected_subjective_dummies,index_affected_subjective_du_429,
index_affected_subjective_dummies2SD,index_affected_subjective_du_430,
index_lose_policies_poor,index_lose_policies_poor,
index_lose_policies_poor_dummies,index_lose_policies_poor_dum_432,
index_lose_policies_poor_dummies2SD,index_lose_policies_poor_dum_433,
index_lose_policies_rich,index_lose_policies_rich,
index_lose_policies_rich_dummies,index_lose_policies_rich_dum_435,
index_lose_policies_rich_dummies2SD,index_lose_policies_rich_dum_436,
index_fairness,index_fairness,
index_fairness_dummies,index_fairness_dummies,
index_fairness_dummies2SD,index_fairness_dummies2sd,
index_trust_govt,index_trust_govt,
index_trust_govt_dummies,index_trust_govt_dummies,
index_trust_govt_dummies2SD,index_trust_govt_dummies2sd,
index_willing_change,index_willing_change,"index_willing_change: Non-weighted average of z-scores of variables in variables_index_willing_change. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_willing_change_dummies,index_willing_change_dummies,
index_willing_change_dummies2SD,index_willing_change_dummies_445,
index_standard_policy,index_standard_policy,"index_standard_policy: Non-weighted average of z-scores of variables in variables_index_standard_policy. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_standard_policy_dummies,index_standard_policy_dummie_447,
index_standard_policy_dummies2SD,index_standard_policy_dummie_448,
index_tax_transfers_policy,index_tax_transfers_policy,"index_tax_transfers_policy: Non-weighted average of z-scores of variables in variables_index_tax_transfers_policy. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_tax_transfers_policy_dummies,index_tax_transfers_policy_d_450,
index_tax_transfers_policy_dummies2SD,index_tax_transfers_policy_d_451,
index_investments_policy,index_investments_policy,"index_investments_policy: Non-weighted average of z-scores of variables in variables_index_investments_policy. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_investments_policy_dummies,index_investments_policy_dum_453,
index_investments_policy_dummies2SD,index_investments_policy_dum_454,
index_main_policies,index_main_policies,"index_main_policies: Non-weighted average of z-scores of variables in variables_index_main_policies. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_main_policies_dummies,index_main_policies_dummies,
index_main_policies_dummies2SD,index_main_policies_dummies2_457,
index_pricing_norm_main_policies_V1,index_pricing_norm_main_poli_458,
index_pricing_norm_main_policies_V1_dummies,index_pricing_norm_main_poli_459,
index_pricing_norm_main_policies_V1_dummies2SD,index_pricing_norm_main_poli_460,
index_pricing_norm_main_policies_V2,index_pricing_norm_main_poli_461,
index_pricing_norm_main_policies_V2_dummies,index_pricing_norm_main_poli_462,
index_pricing_norm_main_policies_V2_dummies2SD,index_pricing_norm_main_poli_463,
index_beef_policies,index_beef_policies,"index_beef_policies: Non-weighted average of z-scores of variables in variables_index_beef_policies. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_beef_policies_dummies,index_beef_policies_dummies,
index_beef_policies_dummies2SD,index_beef_policies_dummies2_466,
index_international_policies,index_international_policies,"index_international_policies: Non-weighted average of z-scores of variables in variables_index_international_policies. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_international_policies_dummies,index_international_policies_468,
index_international_policies_dummies2SD,index_international_policies_469,
index_other_policies,index_other_policies,"index_other_policies: Non-weighted average of z-scores of variables in variables_index_other_policies. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_other_policies_dummies,index_other_policies_dummies,
index_other_policies_dummies2SD,index_other_policies_dummies_472,
index_all_policies,index_all_policies,"index_all_policies: Non-weighted average of z-scores of variables in variables_index_all_policies. Each z-score is normalizeed with survey weights, control mean group and sd mean group. Impute mean of treatment group to missing values. If the question is asked before the treatment we simply use then variable mean and sd."
index_all_policies_dummies,index_all_policies_dummies,
index_all_policies_dummies2SD,index_all_policies_dummies2s_475,
length_CC_field,length_cc_field,length_CC_field: Number of characters in CC_field
length_comment_field,length_comment_field,length_comment_field: Number of characters in comment_field
Nb_children__14,nb_children_14,Nb_children__14: How many children do you have?
origin_pnr,origin_pnr,origin_pnr: What race or ethnicity do you identify with? (Multiple answers are possible) - Selected Choice - Prefer not to say
origin_other,origin_other,origin_other: What race or ethnicity do you identify with? (Multiple answers are possible) - Other - Text
burden_sharing_income,burden_sharing_income,
burden_sharing_emissions,burden_sharing_emissions,
burden_sharing_cumulative,burden_sharing_cumulative,
burden_sharing_rich_pay,burden_sharing_rich_pay,
burden_sharing_poor_receive,burden_sharing_poor_receive,
clicked_petition,clicked_petition,
pro_polluter_pay,pro_polluter_pay,"pro_polluter_pay: In favor of a burden_sharing option where polluter pay: agree to _income, _emissions or _cumulative."
pro_rich_pay,pro_rich_pay,pro_rich_pay: In favor of burden_sharing where rich countries pay it all (including where vulnerable countries receive): agree to _rich_pay or _poor_receive.
pro_grand_fathering,pro_grand_fathering,"pro_grand_fathering: In favor of burden_sharing akin to grand-fathering. Inferred as disagreement to _cumulative, _rich_pay and _poor_receive, i.e.: countries pay in proportion to cumulative emissions, and to options where poor and vulnerable countries don't pay. Results are in line with US pilot on 502 people, where the more explicit usp$equal_quota == grand-fathering gathered 6%."
pro_polluter_and_rich_pay,pro_polluter_and_rich_pay,"pro_polluter_and_rich_pay: In favor of burden_sharing where polluters and only rich countries pay. Inferred as agreeing to at least one polluter-pay option and one option where rich countries pay it all: (_income, _emissions or _cumulative) and (_rich_pay or _poor_receive)."
pro_global_tax_dividend,pro_global_tax_dividend,pro_global_tax_dividend: In favor of burden_sharing akin to global tax & dividend. Inferred as agreeing to paying in proportion to current emissions and one option where rich countries pay it all: _emissions and (_rich_pay or _poor_receive).
pro_differentiated_responsibilities_strict,pro_differentiated_responsib_492,"pro_differentiated_responsibilities_strict: In favor of a burden_sharing option akin to differentiated responsibilities, taken in a strict sense. Inferred as agreeing to paying in proportion to current emissions and that vulnerable countries receive income support in net: _emissions and _poor_receive."
pro_differentiated_responsibilities_large,pro_differentiated_responsib_493,"pro_differentiated_responsibilities_large: In favor of a burden_sharing option akin to differentiated responsibilities, taken in a loose sense. Inferred as agreeing to at least one polluter-pay option and that vulnerable countries receive income support in net: (_emissions, _income or _cumulative) and _poor_receive "
right_click_petition,right_click_petition,
left_click_petition,left_click_petition,
variant_petition_real,variant_petition_real,"variant_petition_real: True iff the respondent faces the new version of the question, without link to petition but with a real stake, as they are informed that 'we will send the results to the President of the United States’ office, informing him what share of people who took this survey were willing to support the following petition'"
signed_petition,signed_petition,signed_petition: Answered that is willing to sign petition or clicked on the petition link.
CC_field_english,cc_field_english,"CC_field_english: CC_field either original (if in English, French) or translated to English."
CC_field_worry,cc_field_worry,"CC_field_worry: worrying / should act - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_no_worry,cc_field_no_worry,"CC_field_no_worry: no need to worry/act - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_na,cc_field_na,"CC_field_na: NA / empty content - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_do_not_know,cc_field_do_not_know,"CC_field_do_not_know: don't know - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_bad_spelling,cc_field_bad_spelling,"CC_field_bad_spelling: spelling mistake - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_damage,cc_field_damage,"CC_field_damage: damages - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_adaptation,cc_field_adaptation,"CC_field_adaptation: adaptation - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_lifestyle,cc_field_lifestyle,"CC_field_lifestyle: change lifestyle - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_companies,cc_field_companies,"CC_field_companies: companies - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_trash,cc_field_trash,"CC_field_trash: trash/recycling/plastic - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_transport,cc_field_transport,"CC_field_transport: cars/transport - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_energy,cc_field_energy,"CC_field_energy: power/energy - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_housing,cc_field_housing,"CC_field_housing: housing/insulation - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_land_agri,cc_field_land_agri,"CC_field_land_agri: agriculture/forest - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_tax,cc_field_tax,"CC_field_tax: tax/incentives - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_ban,cc_field_ban,"CC_field_ban: bans/sanctions - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_standard,cc_field_standard,"CC_field_standard: standard - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
CC_field_spending,cc_field_spending,"CC_field_spending: subsidies/investment - Element mentioned (and supported) in CC_field. (For change lifestyle, it includes calls to reduce consumption.)"
nb_sectors_CC_field,nb_sectors_cc_field,"nb_sectors_CC_field: Number of sectors for which an action is supported in CC_field, among: companies, trash, transport, energy, housing, land_agri"
nb_measures_CC_field,nb_measures_cc_field,"nb_measures_CC_field: Number of types of government measures explicitly supported in CC_field, among: lifestyle, tax, ban, standard, spending"
measure_proposed_CC_field,measure_proposed_cc_field,measure_proposed_CC_field: At least one measure mentioned and supported in CC_field.
nb_actions_CC_field,nb_actions_cc_field,
should_act_CC_field,should_act_cc_field,"should_act_CC_field: T/F Supports at least one action in CC_field (either expresses general concern/support for action (CC_field_worry) or mentions specific action(s): nb_types_CC_field > 0, or both)"
weird_good_CC_field,weird_good_cc_field,weird_good_CC_field: T/F The answer to CC_field is weirdly 'good' or 'very good'. Flagged as low quality.
nb_elements_CC_field,nb_elements_cc_field,
CC_field_contains_meat,cc_field_contains_meat,CC_field_contains_meat: T/F CC_field_english contains: meat|beef|cow|vegan|animal food
CC_field_contains_natural,cc_field_contains_natural,CC_field_contains_natural: T/F CC_field_english contains: natural
CC_field_contains_world,cc_field_contains_world,CC_field_contains_world: T/F CC_field_english contains: international|world|countries
CC_field_contains_population,cc_field_contains_population,CC_field_contains_population: T/F CC_field_english contains: population
CC_field_contains_research,cc_field_contains_research,CC_field_contains_research: T/F CC_field_english contains: research|innovation|technology
CC_field_contains_tax,cc_field_contains_tax,CC_field_contains_tax: T/F CC_field_english contains: tax|incentiv
CC_field_contains_education,cc_field_contains_education,CC_field_contains_education: T/F CC_field_english contains: educat|teach|campaign|school
CC_field_contains_solar,cc_field_contains_solar,CC_field_contains_solar: T/F CC_field_english contains: solar
CC_field_contains_coal,cc_field_contains_coal,CC_field_contains_coal: T/F CC_field_english contains: coal
CC_field_contains_electric,cc_field_contains_electric,CC_field_contains_electric: T/F CC_field_english contains: electric
CC_field_contains_electric_car,cc_field_contains_electric_c_534,CC_field_contains_electric_car: T/F CC_field_english contains: electric car
CC_field_contains_nuclear,cc_field_contains_nuclear,CC_field_contains_nuclear: T/F CC_field_english contains: nuclear
CC_field_contains_fossil,cc_field_contains_fossil,CC_field_contains_fossil: T/F CC_field_english contains: fossil|coal|oil|gas
CC_field_contains_plastic,cc_field_contains_plastic,CC_field_contains_plastic: T/F CC_field_english contains: plastic
CC_field_contains_companies,cc_field_contains_companies,CC_field_contains_companies: T/F CC_field_english contains: compan|corporation|factories|factory
CC_field_contains_aviation,cc_field_contains_aviation,CC_field_contains_aviation: T/F CC_field_english contains: plane|flight|fly|aviation
CC_field_contains_justice,cc_field_contains_justice,CC_field_contains_justice: T/F CC_field_english contains: justice|poor|equalit
CC_field_contains_training,cc_field_contains_training,CC_field_contains_training: T/F CC_field_english contains: training
CC_field_contains_recycling,cc_field_contains_recycling,CC_field_contains_recycling: T/F CC_field_english contains: recycl
CC_field_contains_heating,cc_field_contains_heating,CC_field_contains_heating: T/F CC_field_english contains: heating|insulat|renovat
CC_field_contains_subsidies,cc_field_contains_subsidies,CC_field_contains_subsidies: T/F CC_field_english contains: subsid
CC_field_contains_investment,cc_field_contains_investment,CC_field_contains_investment: T/F CC_field_english contains: invest
CC_field_contains_ban,cc_field_contains_ban,CC_field_contains_ban: T/F CC_field_english contains: ban |banned|interdiction|forbid|mandat
CC_field_contains_standard,cc_field_contains_standard,CC_field_contains_standard: T/F CC_field_english contains: standard
CC_field_contains_reduce,cc_field_contains_reduce,CC_field_contains_reduce: T/F CC_field_english contains: reduc| less
comment_field_english,comment_field_english,"comment_field_english: comment_field either original (if in English, French) or translated to English."
comment_field_good,comment_field_good,comment_field_good: good - Feeling or opinion the respondent expressed about the survey in comment_field.
comment_field_bad,comment_field_bad,comment_field_bad: bad - Feeling or opinion the respondent expressed about the survey in comment_field.
comment_field_bias,comment_field_bias,comment_field_bias: bias - Feeling or opinion the respondent expressed about the survey in comment_field.
comment_field_problem,comment_field_problem,comment_field_problem: problem - Feeling or opinion the respondent expressed about the survey in comment_field.
dislike_comment_field,dislike_comment_field,dislike_comment_field: T/F The respondent didn't sur survey: comment_field either says the survey is bad or biased.
